Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	38.34	31.35	32.75	31.2	32.58	31.99	33.79	32.07	32.81	36.73	1
-66.5	-42.5	77.21	65.09	72.16	64.75	64.65	64.15	69.95	69.91	67.99	74.26	2
39.5	-3.5	101.36	78.713484	80.576691	79.010517	80.47768	79.559578	79.190537	81.782825	79.055522	104.456344	3
-4.5	56.5	198.17	145.5	145.08	144.5	144.14	145.04	145.47	0	0	169.18	4
94.5	54.5	322.99	232.33	231.7	231.78	231.09	0	0	0	0	268.19	5
25.5	0.5	338.66	88.38	88.89	88.14	88.45	84.96	87.97	85.55	87.88	134.12	6
63.5	59.5	203	134.78	134.52	134.41	134.06	0	0	0	0	158.96	7
-114.5	32.5	9.85	7.17315	9.50931	7.163416	10.599518	7.338628	11.368504	7.61118	9.75266	8.73059	8
-57.5	-33.5	155.82	111.59	114.54	111.28	112.99	111.79	114.51	113.97	112.97	130.8	9
22.5	16.5	48.96	42.67	46.76	42.11	46.98	43.61	50.67	0	0	47.94	10
25.5	53.5	118.04	67.19	66.73	67.13	66.75	67.85	67.2	0	0	87.26	11
-92.5	16.5	247.44	153.84	153.93	151.32	151.56	153.57	154.69	152.77	153.81	185.75	12
122.5	17.5	26.64	13.365496	13.381724	13.154532	13.308698	13.2519	13.600802	13.2519	13.33304	15.88895	13
-68.5	2.5	430.74	229.739816	229.626822	229.893165	229.642964	231.765637	231.797921	230.377425	230.433922	270.240094	14
-39.5	-8.5	122.49	109.3	106.95	104.06	103.91	104.8	106.36	104.28	105.4	123.05	15
147.5	-24.5	59.4	49.4	50.11	48.16	56.34	51.51	55.05	52.78	51.28	59.06	16
72.5	22.5	54.45	35.245192	35.065894	34.92644	34.62761	35.314919	35.514139	34.288936	33.950262	46.441356	17
-90.5	42.5	99.56	54.754481	54.734483	54.024554	53.954561	56.484308	56.604296	61.223834	58.384118	73.692587	18
-90.5	15.5	410.68	227.2636	230.78008	225.68518	230.30056	229.51135	230.14072	227.13373	228.4624	276.56425	19
136.5	-18.5	120.41	104.69	112.13	105.1	111.67	105.29	119.82	104.81	109.95	120.51	20
-114.5	59.5	431.3	429.93676	430.010241	429.915484	430.004922	422.80339	422.80339	422.80339	422.80339	430.494861	21
-106.5	39.5	316.88	271.522904	269.32346	271.2728	269.080712	83.783072	83.783072	83.783072	83.783072	296.297912	22
13.5	52.5	119.11	57.73	57.06	57.59	57.3	59.2	58.09	0	0	75.41	23
15.5	40.5	112.74	77.1	78.01	78.6	78.22	81.69	81.07	83.82	83.45	90.24	24
-80.5	-4.5	132.31	113.10417	113.605603	112.886567	112.962255	113.95566	115.034214	113.567759	115.422115	131.117914	25
160.5	56.5	191.82	153.85	153.24	152.93	152.48	0	0	0	0	173.73	26
48.5	30.5	10.2	8	11.4	7.93	10.33	8.38	12.02	8.05	10.5	9.64	27
100.5	58.5	152.25	113.92	113.52	113.78	113.36	0	0	0	0	132.36	28
105.5	53.5	198.8	151.32	150.44	149.85	148.88	0	0	0	0	175.23	29
76.5	19.5	107.49	81.96	82.61	81.07	81.83	82.32	83.07	81.02	80.25	98.35	30
119.5	-29.5	36.17	30.35258	39.457304	30.35258	38.413862	30.361814	41.451848	2.770622	2.770622	35.265068	31
147.5	-20.5	87.28	68.6	69.45	68.09	68.15	70.19	73.3	73.15	72.03	89.28	32
3.5	43.5	60.69	38.59	39.09	39.73	39.55	39.27	40.52	39.36	40.52	45.95	33
80.5	49.5	122.61	105.08	110.28	104.58	109.65	108.69	110.77	0	0	114.8	34
84.5	27.5	58.66	28.461506	29.558652	28.740289	29.981323	30.350036	30.646805	28.992093	28.992093	53.426074	35
64.5	58.5	193.96	126.07	124.31	125.61	123.97	0	0	0	0	150.53	36
-104.5	25.5	39.69	31.23	33.63	30.66	31.91	32	33.6	31.73	32.43	38.29	37
105.5	18.5	225.45	114.42	115.07	113.29	115.13	117.19	116.41	114.51	113.66	140.19	38
30.5	-20.5	48.04	31.85	36.05	30.2	31.02	32.57	36.57	34.38	32.96	46.7	39
28.5	47.5	82.29	47.03	46.86	46.62	46.36	47.55	47.13	53.41	49.8	63.51	40
-97.5	44.5	76.04	54.83	54.82	53.91	53.75	56.07	56.06	61.35	58.54	66.78	41
11.5	6.5	268.88	95.859572	99.741632	95.939204	99.482828	96.446858	100.338872	97.1735	99.990482	143.081348	42
-69.5	-37.5	84.72	74.069976	72.071232	73.73188	70.00288	76.11844	71.94196	84.2228	67.954416	81.28932	43
-111.5	58.5	147.33	131.77908	131.426244	131.690871	131.367438	99.197289	99.197289	99.197289	99.197289	137.574738	44
-102.5	42.5	91.68	66.64	66.5	65.77	65.52	69.65	68.17	74.04	72.4	82.09	45
131.5	53.5	283.95	207.65	207.43	207.47	207.2	0	0	0	0	239.85	46
161.5	55.5	77.32	6.773232	6.773232	66.790904	65.805512	6.773232	6.773232	6.773232	6.773232	72.082824	47
-106.5	31.5	62.4	57.59	56.3	58.75	55.44	58.28	59.29	57.73	52.3	61.36	48
-108.5	26.5	101.48	80.36	80.33	78.55	78.81	80.86	80.24	81.01	78.37	101.03	49
-76.5	47.5	256.56	170.3	165.72	169.93	165.22	0	0	0	0	198.55	50
84.5	21.5	104.71	67.98	69.31	67.48	68.67	70.9	70.44	68.69	66.83	92.98	51
35.5	-1.5	172.53	135.338676	138.454428	135.544284	138.003672	135.575916	135.109344	137.244504	136.524876	167.200008	52
33.5	60.5	200.86	126.79975	126.8284	126.41775	126.45595	9.0387	9.0387	9.0387	9.0387	151.11405	53
28.5	45.5	61.37	38.71	38.68	38.29	38.11	39.19	39.09	39.95	38.75	49.1	54
104.5	17.5	111.01	52.18508	52.17514	51.4694	52.14532	54.32218	55.35594	52.39382	51.98628	79.87792	55
-54.5	-9.5	243.83	139.991408	141.797069	139.485474	139.302291	140.357774	143.785913	140.235652	140.680525	171.647175	56
66.5	47.5	43.37	32.84	32.55	32.62	32.32	36.02	33.36	0	0	38.7	57
118.5	29.5	200.24	133.68	134.07	133.45	133.8	133.77	134.77	133.07	135.23	153.47	58
17.5	-20.5	45.38	39.604516	43.815404	33.819374	42.318414	36.002082	49.368754	40.058442	37.6536	44.80052	59
86.5	59.5	214.1	146.07	144.66	145.8	144.34	0	0	0	0	170.1	60
-63.5	-3.5	327.18	139.96	139.66	138.73	139.68	137.97	141.37	139.26	140.69	180.22	61
16.5	38.5	13.4	8.3	8.45	8.42	8.51	8.55	8.81	8.48	8.05	10.27	62
