Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	0	3084856	19830110	8733951	40118675	4996642	22034097	1957392	15632325	0	1
-66.5	-42.5	0	2287540	21562189	5651073	18249491	5071346	26128457	1849167	10919587	0	2
39.5	-3.5	0	5327375.0648	22434061.7966	15238770.4086	54379249.8676	10737325.3036	12597497.1664	16771896.337	10244011.097	0	3
-4.5	56.5	0	10612774	11343630	32612168	32790276	1625002	1671622	0	0	0	4
94.5	54.5	0	8201251	7981038	21347276	20760042	0	0	0	0	0	5
25.5	0.5	0	8106580	28671811	19584324	74943581	8802791	37485217	10280976	24822184	0	6
63.5	59.5	0	6777182	18558516	17986946	47918529	0	0	0	0	0	7
-114.5	32.5	0	584906.326	8301897.9042	1443398.4028	23669842.6844	1370813.9116	32551724.4308	349955.7946	21388022.7394	0	8
-57.5	-33.5	0	10842493	13976651	23200300	32819248	10665276	15962192	16685494	18195714	0	9
22.5	16.5	0	1443386	9156134	3658046	23039082	5842505	41232077	0	0	0	10
25.5	53.5	0	9275592	10143683	24368080	26493878	8694386	9539364	0	0	0	11
-92.5	16.5	0	23132067	21918993	28350377	32983064	22475641	24732277	18376843	22878584	0	12
122.5	17.5	0	4814920.626	5245877.0738	2965395.9924	11794886.8896	2904052.5296	7610619.611	2146579.7964	2308127.1022	0	13
-68.5	2.5	0	19467671.692	20023626.385	45866243.6092	47367320.4732	28706307.2975	28877118.7131	17945472.2139	18856734.1186	0	14
-39.5	-8.5	0	13740538	30788352	16434092	23901035	16058352	21493296	8059346	12942016	0	15
147.5	-24.5	0	6430906	9139207	10686808	34224971	11395733	20047419	12981009	24888536	0	16
72.5	22.5	0	7274011.2851	10183616.3968	15066867.1538	26817193.459	13679452.2571	25196669.2481	10005144.1637	20905485.3896	0	17
-90.5	42.5	0	11768533.029	12561448.7295	24521951.5596	25598646.8793	20400286.7673	21432066.579	14040688.7907	14343103.5462	0	18
-90.5	15.5	0	17578186.218	26317499.157	28729107.135	62801363.772	22564104.309	22576099.302	13981005	14725385.874	0	19
136.5	-18.5	0	8903337	13033527	20051579	35177445	19379998	41903337	12531743	26210427	0	20
-114.5	59.5	0	182521.9775	196371.589700001	489915.576700001	580895.082000001	0	0	0	0	0	21
-106.5	39.5	0	5948628.012	7866277.6284	14212785.06	18850366.4328	0	0	0	0	0	22
13.5	52.5	0	16869208	21521833	38528693	49107220	16523731	18844815	0	0	0	23
15.5	40.5	0	6222976	15871066	14047090	43255464	11768786	28173491	7176917	12922722	0	24
-80.5	-4.5	0	10598380.6058	13272333.5748	19756940.8188	24736772.2284	16364348.2657	18806087.6124	11972791.429	18314074.9301	0	25
160.5	56.5	0	7179082	7581060	13824287	14132051	0	0	0	0	0	26
48.5	30.5	0	3190796	5305295	7676961	14972932	5174533	34104406	3278520	17460787	0	27
100.5	58.5	0	5904840	14149662	15137654	35625487	0	0	0	0	0	28
105.5	53.5	0	12563403	14614012	16452726	15502610	0	0	0	0	0	29
76.5	19.5	0	12936252	16820364	24890687	36165402	16274046	27365200	13728778	21630969	0	30
119.5	-29.5	0	4349925.018	9789639.3288	10851722.928	30800421.6066	5708405.2428	31746745.0116	0	0	0	31
147.5	-20.5	0	8144903	11576023	16386005	23996465	12842507	19576710	16348964	26916314	0	32
3.5	43.5	0	5938756	11609850	14169370	33273763	8453414	18297591	3165354	5123256	0	33
80.5	49.5	0	3373316	25187924	7395921	58189701	6903141	23121071	0	0	0	34
84.5	27.5	0	10455054.0617	12963901.4171	26082895.2129	31264806.6002	15640571.642	20755167.7264	12600377.3781	19187831.7144	0	35
64.5	58.5	0	6778403	7953087	18003822	21012450	0	0	0	0	0	36
-104.5	25.5	0	15506137	13089462	26593803	28865270	17421798	24563722	14021097	24042558	0	37
105.5	18.5	0	16074085	24285539	21202708	58536068	20824378	25496317	13484566	20674166	0	38
30.5	-20.5	0	12701172	14617112	13013320	16672980	13807837	17834637	22006994	15442038	0	39
28.5	47.5	0	7609612	8671238	16451330	18427349	8142428	8940705	13443540	9719994	0	40
-97.5	44.5	0	10434163	12024736	17655367	19508385	14031058	17118409	9570807	11862312	0	41
11.5	6.5	0	9083572.47	25701493.7718	22915122.3126	62292129.0138	12726428.8914	34867756.1106	10691888.0292	24547114.4562	0	42
-69.5	-37.5	0	761519.4752	8766543.8872	2193901.9608	15783405.176	3814281.7328	10479444.624	1689297.6584	11418402.8464	0	43
-111.5	58.5	0	2888218.1394	3182238.0117	7873562.1294	9004157.7912	0	0	0	0	0	44
-102.5	42.5	0	8345287	11861322	15885699	25603511	11906639	22821058	7382050	11855134	0	45
131.5	53.5	0	11832019	12132775	29617641	30287507	0	0	0	0	0	46
161.5	55.5	0	0	0	13538711.268	14653722.4616	0	0	0	0	0	47
-106.5	31.5	0	5780854	10464325	10787661	26151014	10486637	28739972	4471428	21334373	0	48
-108.5	26.5	0	13273662	10173764	23030718	30124910	19959292	28897440	18517914	23533182	0	49
-76.5	47.5	0	10125130	10830509	26319460	28780940	0	0	0	0	0	50
84.5	21.5	0	9971150	12762648	18789748	28211058	16407873	22622456	13646325	21919865	0	51
35.5	-1.5	0	6150078.4872	21611575.5	15670435.8624	48455714.8584	7841229.5928	8284515.696	6935629.1568	8181691.1352	0	52
33.5	60.5	0	7000935.01	19502987.08	18795929.91	48117365.58	0	0	0	0	0	53
28.5	45.5	0	6521582	8809726	13162416	17500200	7750730	10482479	6339754	9696094	0	54
104.5	17.5	0	16743035.4	18442232.676	21894738.6	46322038.112	19916125.936	33835114.894	17478344.912	18748139.158	0	55
-54.5	-9.5	0	10281964.0924	22946575.509	18487761.721	20069602.7532	11985707.305	31218585.9414	9629134.7724	10635545.6636	0	56
66.5	47.5	0	1350849	4005966	2724988	8314708	2778118	7130501	0	0	0	57
118.5	29.5	0	17530987	18002408	44480583	45551103	26358608	27029554	22003444	21393414	0	58
17.5	-20.5	0	15624566.5642	13098439.4002	8617941.5696	33380228.7764	7237076.4642	34415566.3764	14994633.1722	24402151.0106	0	59
86.5	59.5	0	11107166	14894756	28889087	38654330	0	0	0	0	0	60
-63.5	-3.5	0	22755946	24403043	21076340	56608124	10164144	34487588	9226634	22603852	0	61
16.5	38.5	0	4238208	6475373	10193310	17737240	4187865	13800427	3783968	8472497	0	62
21.5	-4.5	0	8729478	23759761	20265679	59479596	12273527	37131146	11286259	25053122	0	63
-14.5	12.5	0	18601168	24962364	15818846	17176350	15000229	16034308	11527046	13530487	0	64
-44.5	-21.5	0	8739469	26708668	32549192	35480111	17959792	18884363	12568697	13506522	0	65
17.5	7.5	0	29200572	26808016	23196396	64883829	14158149	37952734	11627278	26448863	0	66
38.5	27.5	0	621775	6625466	1528954	16971387	1613746	30252204	474840	21860234	0	67
-89.5	54.5	0	10160658.81	11597710.837	26962146.3272	31001087.691	0	0	0	0	0	68
146.5	-23.5	0	10464566	9758497	23795558	29159570	18626819	36967950	12191336	24637227	0	69
111.5	22.5	0	21042298	20161112	47573430	45673041	30991578	31981651	24985294	26551454	0	70
90.5	48.5	0	3432643.8315	8426830.2859	9279831.691	9011549.5275	0	0	0	0	0	71
30.5	66.5	0	0	0	19067032.0965	20197488.525	0	0	0	0	0	72
128.5	44.5	0	20367730	21105394	45374548	45415529	21357436	21721837	7403098	7388956	0	73
25.5	35.5	0	3799592	3810258	8943040	13019935	3209402	8593103	2208228	4800596	0	74
-116.5	55.5	0	10918549.2276	11295691.1242	30264042.8428	46308004.829	0	0	0	0	0	75
76.5	53.5	0	3499707	5304244	8646738	12269482	4462080	6455933	0	0	0	76
-112.5	58.5	0	628619.8488	680640.7872	1761962.3664	2004594.5142	0	0	0	0	0	77
-53.5	-1.5	0	21632029	23879513	20540703	23533746	12947162	35267835	9107063	11400140	0	78
-75.5	-14.5	0	1943853	10530018	4796140	28522868	4438165	14140694	1853888	15168178	0	79
113.5	50.5	0	8493581	7916134	21204715	20407985	0	0	0	0	0	80
113.5	2.5	0	31548401	31686167	35222160	73831066	20503752	38355835	18055016	26116882	0	81
-87.5	20.5	0	18864266	19706347	16965456	47239094	19363744	25549758	17413382	16345077	0	82
-83.5	35.5	0	13220311.0144	13754902.623	31107464.9653	32978535.5954	22169512.1208	22114675.7714	14315356.1068	13654743.2437	0	83
114.5	39.5	0	21511516	24038632	44166886	47341297	21230412	22922691	8108428	9523578	0	84
-91.5	43.5	0	12448088.4528	13405020.2871	23229521.0524	23867474.6089	19093165.3315	20104895.7213	13352908.9252	13456098.9589	0	85
-83.5	12.5	0	6894967	7821753	5832359	18507754	5302149	11453336	3442766	7643698	0	86
19.5	-5.5	0	9127946	23540492	20932507	60246729	13172669	37198526	12285422	25251722	0	87
30.5	-11.5	0	7464705.1112	27038819.5824	17189555.791	61438666.683	11568435.3848	34424245.5913	9757879.5444	23138070.437	0	88
48.5	48.5	0	1781782	5885972	3913829	13409053	4161486	10486283	0	0	0	89
25.5	45.5	0	11485648	11606465	30212248	31082129	10306165	10332368	0	0	0	90
125.5	50.5	0	17528061	18310172	33279926	33806206	17279068	17318699	0	0	0	91
126.5	44.5	0	22728256	23408546	43456621	44636884	26307953	27081194	11659702	11956674	0	92
123.5	48.5	0	18373677	19241724	33427452	33945234	17678057	17356037	7100926	7265148	0	93
-102.5	41.5	0	8219278	11859859	15388554	24408244	12851191	21791961	8976503	13594688	0	94
-38.5	-10.5	0	16214076	25287179	21795786	26157202	12962987	14960120	16736366	12808145	0	95
21.5	66.5	0	9605668	12213501	25451186	24093127	0	0	0	0	0	96
64.5	48.5	0	890891	21396615	1964529	47765468	2212854	25076254	0	0	0	97
-97.5	21.5	0	9827172	10439489	14635360	19458604	11908096	14270122	10560349	12876784	0	98
