     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50            5.21            4.58        -8129.39            4.58        -8366.21            4.58        -8153.91            4.58       -11843.12            4.58
  -66.50   -42.50           10.45           49.51        -9338.81           93.34        -6719.33          187.81        -9508.14            7.72       -13449.96            7.04
   39.50    -3.50          660.70          845.74        -8346.93          737.33        -8591.48          761.17        -6289.26          409.82       -16452.67          561.94
   -4.50    56.50         9389.58         9554.04         8917.72         9410.65         8752.21         9907.66         9654.26            0.00            0.00         9492.47
   94.50    54.50         1735.23         2299.57         1782.28         2234.10         1661.87            0.00            0.00            0.00            0.00         2116.76
   25.50     0.50         4599.16         7124.19         2259.32         7023.55         1866.99         6435.13         3498.35         5928.91        -2967.01         8278.06
   63.50    59.50          976.31         1609.62         -555.87         1550.37         -721.49            0.00            0.00            0.00            0.00         1313.99
 -114.50    32.50            0.00            0.00       -16474.42            0.00       -17141.43            0.00       -17662.73            0.00       -26459.06            0.00
  -57.50   -33.50         5241.69         5650.14         2122.48         5471.27         2148.63         5822.45         1994.31         4795.65        -3743.89         4945.26
   22.50    16.50          186.06          136.45       -22689.48          127.88       -22342.76          103.37       -22084.72            0.00            0.00          282.94
   25.50    53.50         1649.35         2551.34          984.26         2496.92          627.50         2639.29          873.78            0.00            0.00         2265.33
  -92.50    16.50         4380.71         4167.39        -1182.86         4083.30         -787.74         4331.10         -757.70         4196.82        -7001.65         4992.63
  122.50    17.50         3383.01         3387.07         3233.50         3454.28         3208.36         3469.87         3280.88         3440.12         2857.04         3656.47
  -68.50     2.50        23765.82        23297.15        22696.85        22539.20        22077.59        24513.30        23819.92        23825.21        20729.13        29893.38
  -39.50    -8.50         1130.52          592.53       -10245.70          651.02        -8059.49          736.01        -8594.26          684.22       -18543.86         1120.78
  147.50   -24.50          793.23          834.99       -11243.90          934.49       -13436.56          904.78       -11731.49          597.30       -23933.93          766.32
   72.50    22.50         4855.76         4222.54       -10247.75         4204.74        -9695.90         4291.53        -9528.03         4183.12       -16882.68         5519.36
  -90.50    42.50         3426.02         4567.36         2714.28         4600.03         2393.74         4685.72         1916.12         4246.28        -1827.94         4268.88
  -90.50    15.50        16936.08        17376.87        16199.46        17202.04        15584.16        18053.92        16776.23        17543.98        12010.18        20559.69
  136.50   -18.50          836.01          584.50       -16138.53          578.08       -15862.38          659.29       -15730.85          595.61       -23314.11          779.34
 -114.50    59.50          650.82         1099.87          -58.49         1046.10         -458.71            0.00            0.00            0.00            0.00          929.97
 -106.50    39.50         1760.73         3209.15          408.36         3170.41          139.46            0.00            0.00            0.00            0.00         2925.83
   13.50    52.50          840.15         1626.06         -848.68         1604.29        -1241.05         1655.39         -877.29            0.00            0.00         1298.59
   15.50    40.50         2348.11         3121.07        -2238.41         3182.35        -2770.15         3115.77        -3720.61         2823.30        -7088.46         3075.94
  -80.50    -4.50          391.36          141.70        -9842.05          142.31        -9299.43          195.38        -9595.11          157.65       -19395.28          394.74
  160.50    56.50         3818.03         4344.32         3702.59         4343.14         3718.95            0.00            0.00            0.00            0.00         4354.93
   48.50    30.50          465.94          327.56       -14464.06          330.11       -13630.52          351.31       -15164.73          341.86       -24186.60          525.17
  100.50    58.50          506.58          983.27        -1250.52          944.71        -1454.41            0.00            0.00            0.00            0.00          775.28
  105.50    53.50          139.25          423.61        -1482.34          603.89         -551.98            0.00            0.00            0.00            0.00          316.24
   76.50    19.50         6117.77         4914.99        -9070.08         4910.94        -8589.92         5228.48        -7833.41         5013.02       -13726.83         6825.74
  119.50   -29.50           24.66           19.57       -16372.65           19.57       -15879.55           21.71       -16900.34            0.00            0.00           22.52
  147.50   -20.50         1934.24         1284.14       -11813.11         1284.72       -11190.17         1388.15       -12165.88         1331.71       -22436.72         1913.90
    3.50    43.50         2697.06         3052.06         1103.32         3064.61          852.93         3199.13          369.49         3269.09        -1228.93         3049.21
   80.50    49.50          570.53          989.82        -4345.87         1009.03        -4864.08          792.38        -4312.35            0.00            0.00          799.38
   84.50    27.50        14408.21        13409.43         6317.40        13065.72         5899.55        14291.28         6357.35        13896.17         1768.03        16004.68
   64.50    58.50         1316.03         1992.84          667.33         1918.78          462.56            0.00            0.00            0.00            0.00         1679.26
 -104.50    25.50           93.14           28.36       -14358.15           31.14       -12657.38           44.48       -12403.52           37.53       -20951.54           49.77
  105.50    18.50        14514.10        14022.60        11149.72        14185.59        10902.54        14718.29        11675.73        14456.49         8311.61        16386.40
   30.50   -20.50          662.15          231.68       -12733.43          342.18       -10369.44          326.60       -11900.43          233.42       -22210.10          587.71
   28.50    47.50          501.83         1377.96        -1338.11         1412.44        -1668.40         1461.47        -1902.60          944.68        -6389.04          894.62
  -97.50    44.50         1435.73         2230.02         -265.62         2326.80         -332.57         2373.70         -773.62         1980.61        -4743.55         2057.78
   11.50     6.50         6818.41         8275.86         5460.27         7979.93         4940.07         8767.77         6197.71         7988.33         -157.36         9955.70
  -69.50   -37.50          210.65          553.99        -8803.35          653.45        -7944.80          635.86        -9571.83          375.11       -16547.51          551.06
 -111.50    58.50          412.10          799.67         -449.66          745.16         -690.41            0.00            0.00            0.00            0.00          618.41
 -102.50    42.50          299.32          750.57        -3169.62          848.45        -3645.18          879.33        -4124.14          476.68        -8907.40          518.24
  131.50    53.50         2304.72         2398.17         1623.05         2320.48         1491.69            0.00            0.00            0.00            0.00         2503.89
  161.50    55.50         4863.34            0.00            0.00         4838.30         4092.19            0.00            0.00            0.00            0.00         5016.35
 -106.50    31.50           34.14            7.88       -14707.58            5.51       -13350.02            2.89       -14161.76           10.77       -22677.38           12.34
 -108.50    26.50         1088.37          471.58       -12763.21          496.10       -11586.18          646.21       -12004.87          539.96       -19386.16         1103.90
  -76.50    47.50         5264.17         6006.68         4827.06         5825.88         4484.67            0.00            0.00            0.00            0.00         5787.47
   84.50    21.50        12204.48        10995.09          834.00        10960.79         1296.84        11494.21         1172.64        11251.88        -5478.19        13193.94
   35.50    -1.50         1979.30         1853.37        -5796.53         1700.64        -5922.75         1699.10        -3725.86         1765.61       -14998.14         1996.55
   33.50    60.50         2360.87         3169.87         1051.81         3067.18          816.84            0.00            0.00            0.00            0.00         2811.00
   28.50    45.50          570.38         1164.33        -2604.61         1222.07        -2824.16         1249.24        -3203.98         1049.26        -7408.42          837.69
  104.50    17.50        16907.53        15679.11        13241.12        15698.08        12639.01        16728.33        14056.72        16176.73         7768.77        18815.99
  -54.50    -9.50        13754.27        12207.92        10640.53        12016.23        10850.29        12775.43        11659.26        12532.38         7022.88        16384.58
   66.50    47.50          206.85          487.16        -4620.47          536.27        -4784.93          388.11        -5829.57            0.00            0.00          436.38
  118.50    29.50        10588.99        11116.03        10117.37        10931.75         9993.48        11232.65         9532.50        11060.48         5792.28        10874.89
   17.50   -20.50          657.53           97.52       -17668.27          174.56       -17238.52          194.46       -16782.84          110.21       -26235.88          559.73
   86.50    59.50         1952.03         2337.26          696.93         2273.27          544.25            0.00            0.00            0.00            0.00         2323.25
  -63.50    -3.50        12218.52        11851.96        10619.65        12029.14        10027.57        12796.54        11520.27        12563.88         7641.75        17523.20
   16.50    38.50         1853.93         2000.78          507.68         1981.26          496.72         2001.00           18.53         2015.26        -1043.12         2064.40
   21.50    -4.50         3170.55         5401.15         2217.72         5269.11         1850.90         5306.88         1615.64         5171.46        -7622.61         8508.44
  -14.50    12.50         5597.67         4088.94        -3424.90         4334.63        -1765.53         4736.40        -1940.14         4167.13       -12491.96         6849.28
  -44.50   -21.50         7437.73         6920.93         4294.45         6620.11         4434.75         7347.17         5270.15         7044.63        -1053.17         8736.16
   17.50     7.50         3939.22         3224.00         -945.04         3369.67        -1312.20         3712.02         -273.37         3844.86        -9058.76         5161.70
   38.50    27.50           30.33           21.31       -18777.75           21.59       -17991.38           22.95       -19373.22           21.86       -29990.76           31.42
  -89.50    54.50         1955.86         2522.30         1085.07         2442.96          865.08            0.00            0.00            0.00            0.00         2638.75
  146.50   -23.50          649.98          464.95       -14872.17          453.66       -14607.07          505.35       -14666.65          481.90       -24216.80          666.93
  111.50    22.50        12049.03        11222.05        10060.68        10977.59         9999.14        11784.66        10258.85        11432.92         6208.54        12773.85
   90.50    48.50           11.33           55.03        -3238.68           72.44        -1929.76            0.00            0.00            0.00            0.00            2.63
   30.50    66.50         1604.60            0.00            0.00         1748.67         1213.73            0.00            0.00            0.00            0.00         1832.47
  128.50    44.50         1056.53         1550.42          137.11         1591.50           73.06         1603.37          243.36         1554.81        -2318.54         1300.18
   25.50    35.50          741.23          778.83          -41.69          776.47         -121.91          793.34         -265.45          785.76         -754.97          805.84
 -116.50    55.50          580.15         1144.23         -427.56         1045.84        -1407.88            0.00            0.00            0.00            0.00          865.26
   76.50    53.50          561.20         1150.62        -1606.60         1123.32        -1821.91         1132.49        -2185.77            0.00            0.00          948.53
 -112.50    58.50          548.74          987.11         -404.21          938.08         -671.89            0.00            0.00            0.00            0.00          889.74
  -53.50    -1.50         8110.53         6917.26         3234.48         7242.22         4150.00         7748.50         3586.61         7412.23        -2057.76         9660.35
  -75.50   -14.50           20.69           17.55       -12927.15           17.02       -13603.17           15.71       -12618.44           17.28       -22629.59           18.33
  113.50    50.50          226.69          694.57         -840.57          643.04         -986.74            0.00            0.00            0.00            0.00          373.83
  113.50     2.50        30240.19        30275.89        29924.92        29878.61        28728.24        30929.82        30474.85        30347.90        26978.61        36361.90
  -87.50    20.50         2731.63         2235.49          237.25         2529.59           21.24         2549.72          289.66         2385.97        -3510.59         3242.37
  -83.50    35.50         7652.90         8661.20         7421.66         8686.02         6951.03         8783.82         6636.80         8802.94         2516.99         8158.54
  114.50    39.50          429.73          655.52        -4281.63          683.80        -3757.29          689.75        -3080.12          587.54        -7205.22          366.74
  -91.50    43.50         3014.39         4080.91         2544.37         4123.03         2413.43         4180.98         1985.22         3811.50        -1501.40         3856.83
  -83.50    12.50         7670.26         7620.05         7551.02         7692.22         7490.05         7785.59         7679.51         7736.97         7309.77         8260.81
   19.50    -5.50         3878.27         6125.09         3455.05         5994.78         3113.57         6090.44         3059.44         5985.89        -5777.97         9652.90
   30.50   -11.50         5302.95         3757.42        -2218.72         3703.16        -2403.78         4145.00        -1812.79         3802.08       -12722.61         7569.10
   48.50    48.50          163.89          491.08        -5060.26          543.12        -5561.54          393.51        -6611.14            0.00            0.00          428.62
   25.50    45.50         1834.27         2979.82         1581.06         2896.05         1071.51         3135.70         1343.20            0.00            0.00         2461.88
  125.50    50.50          460.82          915.57         -744.94          944.96         -671.83          954.76         -557.32            0.00            0.00          696.91
  126.50    44.50          839.03         1222.18        -1282.06         1269.64        -1122.49         1262.39         -949.54         1060.70        -4230.45          990.18
  123.50    48.50          669.25          990.92        -1092.77         1063.59        -1057.36         1068.48         -762.10          977.86        -3721.11          821.51
