Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	5.21	4.58	-8129.39	4.58	-8366.21	4.58	-8153.91	4.58	-11843.12	4.58	1
-66.5	-42.5	10.45	49.51	-9338.81	93.34	-6719.33	187.81	-9508.14	7.72	-13449.96	7.04	2
39.5	-3.5	660.7	827.254504	-7447.067763	729.674663	-7667.187218	751.133047	-5594.958996	434.882912	-14743.044337	571.806124	3
-4.5	56.5	9389.58	9554.04	8917.72	9410.65	8752.21	9907.66	9654.26	0	0	9492.47	4
94.5	54.5	1735.23	2299.57	1782.28	2234.1	1661.87	0	0	0	0	2116.76	5
25.5	0.5	4599.16	7124.19	2259.32	7023.55	1866.99	6435.13	3498.35	5928.91	-2967.01	8278.06	6
63.5	59.5	976.31	1609.62	-555.87	1550.37	-721.49	0	0	0	0	1313.99	7
-114.5	32.5	0	0	-16036.200428	0	-16685.467962	0	-17192.901382	0	-25755.249004	0	8
-57.5	-33.5	5241.69	5650.14	2122.48	5471.27	2148.63	5822.45	1994.31	4795.65	-3743.89	4945.26	9
22.5	16.5	186.06	136.45	-22689.48	127.88	-22342.76	103.37	-22084.72	0	0	282.94	10
25.5	53.5	1649.35	2551.34	984.26	2496.92	627.5	2639.29	873.78	0	0	2265.33	11
-92.5	16.5	4380.71	4167.39	-1182.86	4083.3	-787.74	4331.1	-757.7	4196.82	-7001.65	4992.63	12
122.5	17.5	3383.01	3386.304284	3261.697586	3440.838478	3241.29899	3453.488204	3300.141718	3429.349054	2956.237942	3604.895444	13
-68.5	2.5	23765.82	23387.556443	22903.054313	22775.814998	22403.249567	24369.111108	23809.48411	23813.753669	21314.907501	28711.373676	14
-39.5	-8.5	1130.52	592.53	-10245.7	651.02	-8059.49	736.01	-8594.26	684.22	-18543.86	1120.78	15
147.5	-24.5	793.23	834.99	-11243.9	934.49	-13436.56	904.78	-11731.49	597.3	-23933.93	766.32	16
72.5	22.5	4855.76	4225.009558	-10188.846311	4207.278978	-9639.148526	4293.730497	-9471.933219	4185.743296	-16797.900084	5516.77196	17
-90.5	42.5	3426.02	4567.245866	2714.351174	4599.912599	2393.843228	4685.59403	1916.27099	4246.197974	-1827.414604	4268.795714	18
-90.5	15.5	16936.08	17376.42921	16200.19662	17201.77404	15585.51192	18052.80216	16776.38985	17543.3721	12015.1059	20556.06639	19
136.5	-18.5	836.01	584.5	-16138.53	578.08	-15862.38	659.29	-15730.85	595.61	-23314.11	779.34	20
-114.5	59.5	650.82	659.666285	636.846593	658.607016	628.962259	637.998846	637.998846	637.998846	637.998846	656.319255	21
-106.5	39.5	1760.73	2826.187752	765.926628	2797.690608	568.123788	465.537012	465.537012	465.537012	465.537012	2617.77756	22
13.5	52.5	840.15	1626.06	-848.68	1604.29	-1241.05	1655.39	-877.29	0	0	1298.59	23
15.5	40.5	2348.11	3121.07	-2238.41	3182.35	-2770.15	3115.77	-3720.61	2823.3	-7088.46	3075.94	24
-80.5	-4.5	391.36	155.156674	-9290.469201	155.733795	-8777.096419	205.943322	-9056.839267	170.246969	-18328.780104	394.557818	25
160.5	56.5	3818.03	4344.32	3702.59	4343.14	3718.95	0	0	0	0	4354.93	26
48.5	30.5	465.94	327.56	-14464.06	330.11	-13630.52	351.31	-15164.73	341.86	-24186.6	525.17	27
100.5	58.5	506.58	983.27	-1250.52	944.71	-1454.41	0	0	0	0	775.28	28
105.5	53.5	139.25	423.61	-1482.34	603.89	-551.98	0	0	0	0	316.24	29
76.5	19.5	6117.77	4914.99	-9070.08	4910.94	-8589.92	5228.48	-7833.41	5013.02	-13726.83	6825.74	30
119.5	-29.5	24.66	19.959894	-15116.616054	19.959894	-14661.287514	21.93597	-15603.885	1.888956	1.888956	22.683924	31
147.5	-20.5	1934.24	1284.14	-11813.11	1284.72	-11190.17	1388.15	-12165.88	1331.71	-22436.72	1913.9	32
3.5	43.5	2697.06	3052.06	1103.32	3064.61	852.93	3199.13	369.49	3269.09	-1228.93	3049.21	33
80.5	49.5	570.53	989.82	-4345.87	1009.03	-4864.08	792.38	-4312.35	0	0	799.38	34
84.5	27.5	14408.21	13510.007146	7132.144567	13200.908743	6756.372062	14303.054851	7168.071602	13947.732428	3040.896126	15843.915471	35
64.5	58.5	1316.03	1992.84	667.33	1918.78	462.56	0	0	0	0	1679.26	36
-104.5	25.5	93.14	28.36	-14358.15	31.14	-12657.38	44.48	-12403.52	37.53	-20951.54	49.77	37
105.5	18.5	14514.1	14022.6	11149.72	14185.59	10902.54	14718.29	11675.73	14456.49	8311.61	16386.4	38
30.5	-20.5	662.15	231.68	-12733.43	342.18	-10369.44	326.6	-11900.43	233.42	-22210.1	587.71	39
28.5	47.5	501.83	1377.96	-1338.11	1412.44	-1668.4	1461.47	-1902.6	944.68	-6389.04	894.62	40
-97.5	44.5	1435.73	2230.02	-265.62	2326.8	-332.57	2373.7	-773.62	1980.61	-4743.55	2057.78	41
11.5	6.5	6818.41	8269.15573	5466.517444	7974.587008	4948.710364	8758.802944	6200.56522	7982.948368	-125.271458	9941.268466	42
-69.5	-37.5	210.65	552.067296	-8752.8716	650.97032	-7899.12948	633.478824	-9517.048112	374.189024	-16453.664304	549.153704	43
-111.5	58.5	412.1	538.719119	130.563008	520.910702	51.9099830000001	277.46693	277.46693	277.46693	277.46693	479.501477	44
-102.5	42.5	299.32	750.57	-3169.62	848.45	-3645.18	879.33	-4124.14	476.68	-8907.4	518.24	45
131.5	53.5	2304.72	2398.17	1623.05	2320.48	1491.69	0	0	0	0	2503.89	46
161.5	55.5	4863.34	426.028584	426.028584	4840.493504	4159.74274	426.028584	426.028584	426.028584	426.028584	5002.946324	47
-106.5	31.5	34.14	7.88	-14707.58	5.51	-13350.02	2.89	-14161.76	10.77	-22677.38	12.34	48
-108.5	26.5	1088.37	471.58	-12763.21	496.1	-11586.18	646.21	-12004.87	539.96	-19386.16	1103.9	49
-76.5	47.5	5264.17	6006.68	4827.06	5825.88	4484.67	0	0	0	0	5787.47	50
84.5	21.5	12204.48	10995.09	834	10960.79	1296.84	11494.21	1172.64	11251.88	-5478.19	13193.94	51
35.5	-1.5	1979.3	1879.714556	-4169.826364	1758.935672	-4269.64114	1757.71784	-2532.340528	1810.313948	-11446.459552	1992.9413	52
33.5	60.5	2360.87	3133.465	1110.7177	3035.39605	886.32135	106.23915	106.23915	106.23915	106.23915	2790.74415	53
