     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          479.05
  -66.50   -42.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          817.56
   39.50    -3.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         2554.26
   -4.50    56.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1251.15
   94.50    54.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1430.97
   25.50     0.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         4309.63
   63.50    59.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1219.41
 -114.50    32.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          161.07
  -57.50   -33.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         2008.18
   22.50    16.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          437.11
   25.50    53.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1311.86
  -92.50    16.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         2410.68
  122.50    17.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          284.74
  -68.50     2.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         3778.95
  -39.50    -8.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         2028.91
  147.50   -24.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          930.56
   72.50    22.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1281.22
  -90.50    42.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1548.33
  -90.50    15.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         3567.80
  136.50   -18.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1495.59
 -114.50    59.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1213.39
 -106.50    39.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1326.25
   13.50    52.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1409.47
   15.50    40.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1238.87
  -80.50    -4.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1643.98
  160.50    56.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          794.65
   48.50    30.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          183.82
  100.50    58.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00          811.52
  105.50    53.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1154.29
   76.50    19.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00         1966.57
