Lon	Lat	PNV	C3cer_TeWW	C3cer_TeWWi	C3crps_TeSW	C3crps_TeSWi	C4crps_TeCo	C4crps_TeCoi	Rice_TrRi	Rice_TrRii	Pas	ID
87.5	46.5	0	0	0	0	0	0	0	0	0	479.05	1
-66.5	-42.5	0	0	0	0	0	0	0	0	0	817.56	2
39.5	-3.5	0	0	0	0	0	0	0	0	0	2299.089426	3
-4.5	56.5	0	0	0	0	0	0	0	0	0	1251.15	4
94.5	54.5	0	0	0	0	0	0	0	0	0	1430.97	5
25.5	0.5	0	0	0	0	0	0	0	0	0	4309.63	6
63.5	59.5	0	0	0	0	0	0	0	0	0	1219.41	7
-114.5	32.5	0	0	0	0	0	0	0	0	0	156.785538	8
-57.5	-33.5	0	0	0	0	0	0	0	0	0	2008.18	9
22.5	16.5	0	0	0	0	0	0	0	0	0	437.11	10
25.5	53.5	0	0	0	0	0	0	0	0	0	1311.86	11
-92.5	16.5	0	0	0	0	0	0	0	0	0	2410.68	12
122.5	17.5	0	0	0	0	0	0	0	0	0	231.038036	13
-68.5	2.5	0	0	0	0	0	0	0	0	0	3049.990545	14
-39.5	-8.5	0	0	0	0	0	0	0	0	0	2028.91	15
147.5	-24.5	0	0	0	0	0	0	0	0	0	930.56	16
72.5	22.5	0	0	0	0	0	0	0	0	0	1276.223242	17
-90.5	42.5	0	0	0	0	0	0	0	0	0	1548.175167	18
-90.5	15.5	0	0	0	0	0	0	0	0	0	3564.2322	19
136.5	-18.5	0	0	0	0	0	0	0	0	0	1495.59	20
-114.5	59.5	0	0	0	0	0	0	0	0	0	23.9037830000001	21
-106.5	39.5	0	0	0	0	0	0	0	0	0	975.5895	22
13.5	52.5	0	0	0	0	0	0	0	0	0	1409.47	23
15.5	40.5	0	0	0	0	0	0	0	0	0	1238.87	24
-80.5	-4.5	0	0	0	0	0	0	0	0	0	1555.369478	25
160.5	56.5	0	0	0	0	0	0	0	0	0	794.65	26
48.5	30.5	0	0	0	0	0	0	0	0	0	183.82	27
100.5	58.5	0	0	0	0	0	0	0	0	0	811.52	28
105.5	53.5	0	0	0	0	0	0	0	0	0	1154.29	29
76.5	19.5	0	0	0	0	0	0	0	0	0	1966.57	30
119.5	-29.5	0	0	0	0	0	0	0	0	0	490.159188	31
147.5	-20.5	0	0	0	0	0	0	0	0	0	1701.88	32
3.5	43.5	0	0	0	0	0	0	0	0	0	681.59	33
80.5	49.5	0	0	0	0	0	0	0	0	0	724.17	34
