     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50           39.07           30.97           33.05           31.03           32.79           32.02           33.59           32.12           32.83           36.59
  -66.50   -42.50           78.70           64.51           73.51           63.58           64.17           62.97           70.73           69.99           67.42           74.70
   39.50    -3.50          106.33           75.39           79.55           76.04           79.09           76.98           76.19           80.43           76.50          108.42
   -4.50    56.50          238.83          125.53          125.85          125.15          124.89          124.25          125.17            0.00            0.00          156.62
   94.50    54.50          343.13          186.55          186.08          186.19          185.70            0.00            0.00            0.00            0.00          232.50
   25.50     0.50          421.96           64.87           70.48           65.01           69.64           64.19           70.13           64.71           69.05           99.32
   63.50    59.50          209.56          104.36          105.86          104.41          106.06            0.00            0.00            0.00            0.00          132.13
 -114.50    32.50           11.25            8.90           10.77            8.90           11.96            8.92           12.23            9.10           11.29            9.39
  -57.50   -33.50          202.16          113.22          114.29          113.15          112.29          113.01          113.36          116.96          114.30          135.16
   22.50    16.50           53.12           42.76           49.41           42.89           48.28           43.31           53.41            0.00            0.00           47.18
   25.50    53.50          155.14           55.70           55.61           55.80           55.70           56.06           55.80            0.00            0.00           77.16
  -92.50    16.50          254.40          147.14          149.46          144.28          145.06          147.04          149.34          146.06          149.62          176.04
  122.50    17.50           30.35            8.96            8.88            8.44            8.78            8.59            9.04            8.74            8.71           10.61
  -68.50     2.50          457.51          157.64          157.30          157.53          157.29          159.27          159.22          157.21          157.09          182.75
  -39.50    -8.50          133.58          106.80          107.66          102.98          103.51          104.72          106.32          103.50          105.31          126.15
  147.50   -24.50           62.05           48.14           50.39           46.20           57.85           51.05           54.47           53.32           54.63           61.70
   72.50    22.50           67.93           34.90           35.67           34.39           34.79           35.23           35.51           34.70           34.17           47.67
  -90.50    42.50          159.51           51.91           51.96           50.78           50.81           53.53           53.70           55.69           54.27           74.92
  -90.50    15.50          478.90          205.85          210.72          204.04          209.64          208.47          208.93          206.78          207.75          242.05
  136.50   -18.50          127.65          105.07          114.24          105.46          113.75          105.23          120.71          104.07          114.13          121.86
 -114.50    59.50          428.22          325.74          330.32          324.86          331.44            0.00            0.00            0.00            0.00          360.87
 -106.50    39.50          335.09          225.68          222.23          225.26          222.84            0.00            0.00            0.00            0.00          272.82
   13.50    52.50          137.78           47.28           47.22           47.43           47.58           48.59           48.10            0.00            0.00           63.66
   15.50    40.50          130.59           73.59           74.77           75.63           75.03           78.04           77.70           82.43           79.17           87.38
  -80.50    -4.50          138.59          111.76          112.18          110.82          111.58          111.90          113.78          112.35          114.36          134.08
  160.50    56.50          212.11          130.31          129.64          128.47          127.89            0.00            0.00            0.00            0.00          162.47
   48.50    30.50           12.79            8.31           12.52            8.26           11.28            8.62           13.01            8.78           11.82           10.62
  100.50    58.50          174.46           99.45          101.19           99.49          100.97            0.00            0.00            0.00            0.00          123.63
  105.50    53.50          212.21          138.01          136.53          133.08          132.63            0.00            0.00            0.00            0.00          165.41
   76.50    19.50          132.83           81.97           83.71           80.83           82.30           82.05           83.67           81.22           80.57           99.66
  119.50   -29.50           36.45           29.59           41.98           29.63           40.62           29.71           44.11            0.00            0.00           34.79
  147.50   -20.50           89.20           68.77           69.94           68.67           68.43           69.99           72.75           73.43           74.78           90.69
    3.50    43.50           66.88           35.89           36.39           36.90           36.77           36.08           37.67           35.46           36.12           42.88
   80.50    49.50          136.94          102.82          109.40          102.47          110.20          108.00          110.55            0.00            0.00          115.44
   84.50    27.50          141.36           24.40           25.96           24.56           26.70           26.21           26.97           24.94           25.72           52.65
   64.50    58.50          204.77           96.28           95.48           96.34           95.51            0.00            0.00            0.00            0.00          124.06
 -104.50    25.50           40.42           31.13           34.28           30.45           32.10           31.97           33.52           31.70           33.35           38.48
  105.50    18.50          263.76          107.66          105.81          105.65          105.84          109.53          106.37          108.09          103.64          129.19
   30.50   -20.50           54.20           33.34           38.22           30.89           31.92           33.15           37.75           35.13           34.77           54.23
   28.50    47.50          119.91           43.08           43.03           42.54           42.44           43.41           43.22           49.53           45.09           63.58
  -97.50    44.50          126.99           53.95           54.08           52.52           52.47           54.89           55.11           60.48           56.99           71.83
   11.50     6.50          331.52           79.83           87.70           80.04           86.96           81.09           85.52           81.65           87.56          122.58
  -69.50   -37.50           86.27           70.10           69.31           70.11           66.17           74.00           69.17           87.83           66.46           82.34
 -111.50    58.50          158.47           83.50           82.92           83.73           83.20            0.00            0.00            0.00            0.00          103.71
 -102.50    42.50          133.27           65.20           65.22           63.97           63.88           66.75           66.82           75.56           69.65           84.87
  131.50    53.50          307.41          168.27          167.78          166.94          166.62            0.00            0.00            0.00            0.00          210.38
  161.50    55.50           77.57            0.00            0.00           57.01           54.95            0.00            0.00            0.00            0.00           65.58
 -106.50    31.50           62.69           56.40           56.49           58.31           54.92           58.45           59.55           56.14           53.11           60.79
 -108.50    26.50          108.56           78.75           79.84           77.47           77.53           80.40           78.66           79.17           77.86           99.96
  -76.50    47.50          280.33          124.04          119.02          125.11          119.33            0.00            0.00            0.00            0.00          162.31
   84.50    21.50          128.61           66.32           68.06           65.86           67.16           69.23           68.52           67.55           65.90           91.38
   35.50    -1.50          211.54          122.53          129.08          122.91          127.22          123.76          123.63          124.46          124.51          167.78
   33.50    60.50          202.18           91.34           93.07           91.50           93.81            0.00            0.00            0.00            0.00          118.13
   28.50    45.50           82.28           37.59           37.69           37.01           36.96           37.83           37.98           38.76           37.72           50.70
  104.50    17.50          175.12           49.12           49.32           48.11           49.27           50.90           52.27           49.73           49.21           76.22
  -54.50    -9.50          261.87          113.51          116.56          112.77          112.16          113.95          119.49          114.03          113.61          144.41
   66.50    47.50           45.15           31.96           31.88           31.76           31.58           36.38           32.75            0.00            0.00           38.84
  118.50    29.50          214.04          120.97          121.38          120.87          121.12          120.62          121.29          119.42          120.78          139.97
   17.50   -20.50           51.07           47.64           51.80           37.19           49.60           39.58           56.12           48.23           42.96           55.88
   86.50    59.50          220.75          118.52          116.80          117.80          116.59            0.00            0.00            0.00            0.00          144.85
  -63.50    -3.50          339.95          122.15          122.14          119.58          121.77          119.57          124.40          120.10          122.98          143.39
   16.50    38.50           15.80            7.70            8.14            7.83            8.18            8.03            8.52            7.93            7.83            9.80
   21.50    -4.50          327.28           62.76           70.89           62.96           70.31           64.49           75.11           65.38           69.68           85.67
  -14.50    12.50           96.01           66.58           70.19           64.13           65.23           67.34           66.69           65.99           66.69           82.08
  -44.50   -21.50          304.94          143.13          150.18          145.14          144.64          147.22          147.24          146.37          146.11          182.15
   17.50     7.50          201.53           59.63           61.71           56.81           61.52           58.05           62.76           57.23           63.15           95.52
   38.50    27.50           12.99            8.75           13.79            8.75           12.76            9.06           15.04            9.88           12.23           12.10
  -89.50    54.50          184.27          107.44          101.40          106.60          100.62            0.00            0.00            0.00            0.00          127.64
  146.50   -23.50           47.48           35.59           40.23           34.62           38.80           36.45           44.02           36.77           37.62           45.15
  111.50    22.50          143.54           80.06           81.72           79.85           81.26           82.78           82.86           81.12           81.29          100.18
   90.50    48.50          105.50           82.00           83.33           81.22           79.64            0.00            0.00            0.00            0.00          106.20
   30.50    66.50          136.01            0.00            0.00           79.74           77.89            0.00            0.00            0.00            0.00           93.39
  128.50    44.50          261.77          100.98          100.79          100.16          100.27          101.91          101.47          109.08          111.01          136.37
   25.50    35.50            5.65            4.20            4.38            4.18            4.68            4.16            4.70            4.15            4.47            4.84
 -116.50    55.50          242.00          137.78          137.22          138.27          138.98            0.00            0.00            0.00            0.00          168.79
   76.50    53.50          127.49           81.83           78.03           81.25           77.36           83.74           78.91            0.00            0.00          102.40
 -112.50    58.50          167.43           94.81           87.14           95.80           87.52            0.00            0.00            0.00            0.00          121.96
  -53.50    -1.50          190.08          100.84          101.40           98.60           98.27           99.05          103.32           99.16           98.98          126.63
  -75.50   -14.50           26.55           28.10           26.77           33.26           27.82           26.10           27.32           37.25           23.01           24.36
  113.50    50.50          220.64          129.34          129.21          129.25          129.08            0.00            0.00            0.00            0.00          162.15
  113.50     2.50          583.97          152.51          152.59          149.89          151.93          148.23          151.41          147.63          149.21          190.34
  -87.50    20.50          141.18           69.62           69.95           66.33           69.61           71.01           72.98           69.91           71.01           83.22
  -83.50    35.50          189.70           67.61           67.73           66.67           66.72           68.84           68.92           68.03           69.03           93.47
  114.50    39.50          171.84           98.59           99.11           97.41           98.21           98.88           98.71          105.10          102.62          125.58
  -91.50    43.50          156.64           50.06           50.14           48.74           48.76           51.38           51.53           53.60           52.46           71.89
  -83.50    12.50           51.63           17.73           17.88           17.33           17.84           17.48           18.09           17.49           17.99           20.60
   19.50    -5.50          284.18           61.80           68.86           62.15           68.47           63.94           73.15           64.10           68.25           84.29
   30.50   -11.50          191.20          101.42          107.91          101.32          107.48          102.88          107.85          103.78          106.88          144.31
   48.50    48.50           73.76           46.55           42.82           45.72           42.05           55.58           44.83            0.00            0.00           60.08
   25.50    45.50          219.51           77.59           76.54           77.71           76.20           78.19           76.25            0.00            0.00          110.77
  125.50    50.50          227.08           99.63           99.39           98.91           98.90          100.48          100.01            0.00            0.00          130.28
  126.50    44.50          208.81           92.14           94.01           91.65           93.24           93.64           95.07           97.31           97.01          119.33
  123.50    48.50          200.03           96.49           96.34           95.54           95.78           97.07           96.77          103.01          102.54          124.28
 -102.50    41.50          122.48           64.92           64.95           63.54           63.48           65.89           66.47           74.12           67.48           84.18
  -38.50   -10.50          168.52          142.54          136.10          137.69          132.26          139.94          135.15          144.06          130.21          176.69
   21.50    66.50          144.28           87.48           83.82           87.96           82.88            0.00            0.00            0.00            0.00          103.67
   64.50    48.50           38.51           26.93           30.65           26.65           30.81           30.71           31.47            0.00            0.00           33.30
  -97.50    21.50           64.96           28.02           29.02           27.63           28.24           28.49           29.27           28.16           28.52           35.72
  123.50   -33.50           48.38           34.98           40.77           34.91           40.04           34.73           40.48           34.36           37.29           42.01
   39.50    51.50          122.23           46.93           46.84           46.60           46.48           47.43           47.21            0.00            0.00           65.07
  -67.50    46.50          277.60          122.36          122.34          124.40          124.34          124.99          124.33            0.00            0.00          159.03
   44.50    50.50          101.90           44.22           44.12           43.62           43.47           44.72           44.63           50.71           47.91           57.72
   28.50    58.50          177.99           70.66           70.28           70.29           69.93           70.86           70.45            0.00            0.00           95.47
   29.50   -17.50          113.17           86.76           91.86           84.62           85.53           87.19           92.97           89.08           88.90          113.14
  106.50    40.50           48.04           39.78           41.09           38.92           40.32           39.81           41.34           39.38           40.64           45.84
  171.50   -43.50          297.88          118.02          117.72          118.42          117.02          119.94          118.66            0.00            0.00          155.00
  -70.50   -16.50          126.02           91.12           85.69           94.62           87.62           84.96           80.74            0.00            0.00          126.16
   13.50    13.50           67.18           53.68           53.38           53.61           53.39           57.04           55.94           56.81           53.88           68.12
