     Lon      Lat             PNV      C3cer_TeWW     C3cer_TeWWi     C3crps_TeSW    C3crps_TeSWi     C4crps_TeCo    C4crps_TeCoi       Rice_TrRi      Rice_TrRii             Pas
   87.50    46.50               0         3077086        22643002         9114702        45534657         5030347        23719306         2835538        24782464               0
  -66.50   -42.50               0         3100888        25756014         7481105        21409686         5539894        26642942         3720261        18849810               0
   39.50    -3.50               0         7263314        28206222        22044051        67815633        11986442        13949739        25794431        16678694               0
   -4.50    56.50               0        14911929        15974435        46369466        45675460         3756154         4069167               0               0               0
   94.50    54.50               0         6492935         6459570        16916331        16789542               0               0               0               0               0
   25.50     0.50               0         7272244        34252836        18423020        86263478         6271988        36751651        11866405        34188863               0
   63.50    59.50               0         6018978        23131072        15689002        52940177               0               0               0               0               0
 -114.50    32.50               0         1192089        13946466         2781540        36412002         1986298        36552077          719039        34020573               0
  -57.50   -33.50               0        11746034        16357858        23699130        35689873         8083156        17064441        14379567        27744201               0
   22.50    16.50               0         2930845        12891308         6621946        31952816         7694424        44780593               0               0               0
   25.50    53.50               0         9993305        10628994        25290854        27710574         9457831         9954442               0               0               0
  -92.50    16.50               0        24230108        23278472        29793516        32983064        21727209        24040544        22201970        28607251               0
  122.50    17.50               0         7489535         7966918         3796932        16629360         3088828         8820815         3387365         3823740               0
  -68.50     2.50               0        33063827        33281956        76850436        78572510        34944768        35380488        32386122        33762780               0
  -39.50    -8.50               0        26230903        34027436        23400966        28162988        18929876        22713386        14314654        19756184               0
  147.50   -24.50               0         8564085        11878878        13091862        43792906        13527472        21056593        21686133        36317958               0
   72.50    22.50               0        14564129        17393206        28004797        38871720        16634664        27023022        17612797        31533868               0
  -90.50    42.50               0        13372394        14541018        25843280        28514420        20574307        22420836        22820202        23842754               0
  -90.50    15.50               0        20408450        30009170        31858444        71545848        20545363        20149105        16870422        17816160               0
  136.50   -18.50               0        14482907        18536813        33324853        48995598        22617876        44278568        18482676        37867862               0
 -114.50    59.50               0         9870935        10522519        27589462        49629024               0               0               0               0               0
 -106.50    39.50               0         9337027        12076952        33765810        51491087               0               0               0               0               0
   13.50    52.50               0        19966370        23799968        44351356        55569965        17053624        19120957               0               0               0
   15.50    40.50               0         5034504        17810588        10844816        49990145         9943058        28862613         8928426        21409712               0
  -80.50    -4.50               0        14715016        16385617        27725104        30894668        18574652        20795670        18775040        27659128               0
  160.50    56.50               0        10790606        11921170        27303123        29834331               0               0               0               0               0
   48.50    30.50               0         3600361         9715261         8334170        25012035         5298474        38173800         3755096        26943021               0
  100.50    58.50               0         5176847        20701609        13462112        49815593               0               0               0               0               0
  105.50    53.50               0        18421311        22392659        11982397        11934549               0               0               0               0               0
   76.50    19.50               0        20898682        22495484        35863305        48497459        18157670        30056092        20402360        32800144               0
  119.50   -29.50               0         6491060        17102794        15282497        42756985         7461712        37579700               0               0               0
  147.50   -20.50               0        10603338        13671038        21121165        27555852        14442024        20701008        23753486        38719289               0
    3.50    43.50               0         6111621        12881246        14052268        38214362         8362713        19017160         4165953         7956681               0
   80.50    49.50               0         3768860        27105938         7619814        62570534        10180716        23776586               0               0               0
   84.50    27.50               0        15561893        17114024        41785812        45326294        19031029        25235364        22054040        30210534               0
   64.50    58.50               0         6209041         6730457        16008059        16823146               0               0               0               0               0
 -104.50    25.50               0        19914236        18856292        31167854        34642473        17781706        26599452        21662460        34967739               0
  105.50    18.50               0        21711800        28886216        26321904        69660655        19280695        25935909        17868270        29156918               0
   30.50   -20.50               0        16436178        18481282        15822647        20741660        15021713        19888888        27531956        22703418               0
   28.50    47.50               0         8934707         9926592        18179378        20201892         8999525        10041487        18022767        14473031               0
  -97.50    44.50               0        12151982        14219728        19802641        22633862        15290146        18377496        19045562        21522308               0
   11.50     6.50               0         8879216        31564325        23871990        77852697        12311714        34640354        14556778        33981914               0
  -69.50   -37.50               0         1194296         9946392         3528189        16756617         4834247        11467742         3499866        19583520               0
 -111.50    58.50               0         8209112         9293053        22946730        25522332               0               0               0               0               0
 -102.50    42.50               0        10742969        13801496        20596338        28102861        15315098        23684656        15509615        21407946               0
  131.50    53.50               0        18961305        19467122        49713617        50506520               0               0               0               0               0
  161.50    55.50               0               0               0        25695928        30573321               0               0               0               0               0
 -106.50    31.50               0         6594093        14893047        15598507        34841891        11920980        31959274         9154170        32982062               0
 -108.50    26.50               0        18020063        16688632        28112518        37229268        19705806        32391142        23524414        34826303               0
  -76.50    47.50               0         9647530        10103087        26334156        27259966               0               0               0               0               0
   84.50    21.50               0        14930290        16748994        27439166        33265362        17393951        24067174        22193522        31899196               0
   35.50    -1.50               0         8190584        30487811        22101940        70854868         9815912        10065047        12704686        14270474               0
   33.50    60.50               0         6029559        20562198        15990951        51035308               0               0               0               0               0
   28.50    45.50               0         7960057        11030790        15517639        20988315         8211410        11969585         8975960        14820622               0
  104.50    17.50               0        21939795        23562142        27808554        58306502        20851021        34015737        26338200        27897451               0
  -54.50    -9.50               0        13793277        33083463        23234361        24367744        13408517        36329583        15076892        16983502               0
   66.50    47.50               0         2072854         4658100         4308742         9355016         4470243         7846076               0               0               0
  118.50    29.50               0        21999670        22412164        55411669        56835755        27785700        28158448        31840178        31967268               0
   17.50   -20.50               0        25230126        20063547        11248072        50718580         8403756        38703964        25154830        37922600               0
   86.50    59.50               0        16248296        21238388        39426952        50110047               0               0               0               0               0
  -63.50    -3.50               0        31598256        34047229        26841180        78898114         8930346        34546340        12545232        32466162               0
