"Lon" "Lat" "ATbiome"
87.5 46.5 6
-66.5 -42.5 6
39.5 -3.5 4
-4.5 56.5 3
94.5 54.5 3
25.5 0.5 1
63.5 59.5 3
-114.5 32.5 6
-57.5 -33.5 4
22.5 16.5 5
25.5 53.5 2
-92.5 16.5 1
122.5 17.5 1
-68.5 2.5 1
-39.5 -8.5 4
147.5 -24.5 6
72.5 22.5 4
-90.5 42.5 4
-90.5 15.5 1
136.5 -18.5 6
-114.5 59.5 3
-106.5 39.5 3
13.5 52.5 2
15.5 40.5 5
-80.5 -4.5 4
160.5 56.5 3
48.5 30.5 6
100.5 58.5 3
105.5 53.5 3
76.5 19.5 4
119.5 -29.5 6
147.5 -20.5 6
3.5 43.5 2
80.5 49.5 3
84.5 27.5 5
64.5 58.5 3
-104.5 25.5 6
105.5 18.5 1
30.5 -20.5 4
28.5 47.5 2
-97.5 44.5 4
11.5 6.5 1
-69.5 -37.5 4
-111.5 58.5 3
-102.5 42.5 4
131.5 53.5 3
161.5 55.5 3
-106.5 31.5 6
-108.5 26.5 4
-76.5 47.5 3
84.5 21.5 4
35.5 -1.5 4
33.5 60.5 2
28.5 45.5 4
104.5 17.5 1
-54.5 -9.5 1
66.5 47.5 3
118.5 29.5 2
17.5 -20.5 5
86.5 59.5 3
-63.5 -3.5 1
16.5 38.5 5
21.5 -4.5 1
-14.5 12.5 4
-44.5 -21.5 1
17.5 7.5 1
38.5 27.5 6
-89.5 54.5 3
146.5 -23.5 6
111.5 22.5 2
90.5 48.5 6
30.5 66.5 3
128.5 44.5 3
25.5 35.5 4
-116.5 55.5 3
76.5 53.5 3
-112.5 58.5 3
-53.5 -1.5 1
-75.5 -14.5 6
113.5 50.5 3
113.5 2.5 1
-87.5 20.5 1
-83.5 35.5 2
114.5 39.5 4
-91.5 43.5 2
-83.5 12.5 1
19.5 -5.5 1
30.5 -11.5 1
48.5 48.5 4
25.5 45.5 2
125.5 50.5 3
126.5 44.5 3
123.5 48.5 3
-102.5 41.5 4
-38.5 -10.5 6
21.5 66.5 3
64.5 48.5 5
-97.5 21.5 1
123.5 -33.5 4
39.5 51.5 2
-67.5 46.5 3
44.5 50.5 4
28.5 58.5 2
29.5 -17.5 4
106.5 40.5 6
171.5 -43.5 2
-70.5 -16.5 6
13.5 13.5 6
-120.5 47.5 5
-39.5 -11.5 6
-57.5 -14.5 1
26.5 61.5 2
-0.5 53.5 2
-97.5 50.5 3
4.5 8.5 1
39.5 49.5 5
-93.5 48.5 3
115.5 41.5 3
-64.5 9.5 4
54.5 39.5 6
-72.5 -6.5 1
-108.5 34.5 3
-97.5 23.5 4
42.5 52.5 4
119.5 31.5 2
62.5 53.5 6
42.5 34.5 6
-96.5 47.5 3
-121.5 43.5 3
73.5 56.5 3
-107.5 45.5 4
78.5 57.5 3
22.5 9.5 4
-102.5 51.5 3
-85.5 38.5 2
140.5 -5.5 1
0.5 16.5 6
121.5 -8.5 1
102.5 4.5 1
21.5 51.5 2
84.5 24.5 4
74.5 32.5 4
126.5 -17.5 6
16.5 -22.5 5
39.5 9.5 4
46.5 26.5 6
26.5 10.5 6
-49.5 -15.5 1
74.5 43.5 4
-62.5 -17.5 1
-65.5 -14.5 1
77.5 10.5 1
139.5 -35.5 6
-75.5 -5.5 1
118.5 33.5 2
-68.5 45.5 2
-91.5 46.5 2
33.5 35.5 6
-4.5 31.5 6
103.5 35.5 2
45.5 52.5 3
57.5 61.5 3
64.5 53.5 3
-64.5 -29.5 4
-65.5 -7.5 1
13.5 32.5 6
78.5 28.5 4
142.5 -35.5 6
125.5 49.5 3
-104.5 50.5 3
-42.5 -17.5 4
40.5 -12.5 4
38.5 -1.5 4
17.5 -17.5 6
-46.5 -11.5 4
31.5 -15.5 4
97.5 58.5 3
52.5 60.5 3
-96.5 30.5 4
113.5 35.5 5
-110.5 42.5 3
-45.5 -21.5 1
16.5 40.5 4
38.5 0.5 4
109.5 37.5 4
25.5 -29.5 6
22.5 66.5 3
41.5 49.5 5
-6.5 58.5 2
27.5 52.5 2
105.5 48.5 6
-112.5 30.5 6
120.5 40.5 4
68.5 57.5 3
130.5 32.5 2
-102.5 31.5 6
80.5 52.5 3
-60.5 7.5 1
11.5 -1.5 1
52.5 47.5 4
-70.5 7.5 1
-107.5 41.5 3
10.5 12.5 4
-103.5 55.5 3
111.5 28.5 5
51.5 49.5 4
-52.5 -30.5 2
-47.5 -21.5 1
63.5 26.5 6
-92.5 44.5 4
-52.5 -17.5 1
-64.5 -25.5 4
-54.5 -10.5 1
-111.5 39.5 3
-5.5 34.5 4
-59.5 1.5 1
-60.5 50.5 3
-66.5 -36.5 4
79.5 31.5 3
-71.5 -0.5 1
-1.5 6.5 1
82.5 50.5 3
109.5 25.5 5
-50.5 -19.5 1
42.5 8.5 6
111.5 35.5 4
-70.5 1.5 1
8.5 47.5 2
115.5 -25.5 6
-70.5 -53.5 3
141.5 41.5 2
26.5 -4.5 1
-11.5 17.5 6
-105.5 32.5 6
101.5 3.5 1
-71.5 -1.5 1
93.5 55.5 3
-84.5 15.5 1
-6.5 10.5 4
-101.5 19.5 5
85.5 50.5 3
86.5 56.5 3
80.5 43.5 3
25.5 15.5 6
33.5 -16.5 4
-49.5 -24.5 2
-65.5 -22.5 6
91.5 59.5 3
24.5 -6.5 1
48.5 6.5 6
38.5 3.5 4
144.5 -32.5 6
-44.5 -22.5 2
-46.5 -9.5 1
100.5 20.5 1
44.5 -17.5 4
-119.5 48.5 3
-98.5 33.5 4
20.5 43.5 2
-107.5 54.5 3
111.5 1.5 1
136.5 49.5 3
31.5 -25.5 4
-9.5 53.5 2
114.5 41.5 6
56.5 63.5 3
-75.5 -8.5 1
7.5 60.5 3
42.5 55.5 3
49.5 -16.5 1
-78.5 38.5 2
135.5 48.5 3
-119.5 45.5 4
54.5 48.5 4
-47.5 -17.5 1
46.5 38.5 3
99.5 59.5 3
117.5 29.5 2
51.5 64.5 3
65.5 30.5 6
-48.5 -27.5 2
-94.5 44.5 4
46.5 30.5 6
-13.5 12.5 4
28.5 -5.5 1
24.5 -3.5 1
18.5 -19.5 4
-96.5 38.5 4
-66.5 -40.5 6
45.5 58.5 3
42.5 64.5 3
94.5 20.5 1
15.5 46.5 2
-56.5 -28.5 2
78.5 17.5 4
-108.5 43.5 3
10.5 51.5 2
99.5 36.5 6
31.5 3.5 1
116.5 -34.5 2
48.5 37.5 4
-104.5 37.5 3
-76.5 -0.5 1
129.5 37.5 2
138.5 -5.5 1
99.5 19.5 1
-82.5 39.5 2
40.5 52.5 4
126.5 -8.5 4
43.5 7.5 6
-57.5 0.5 1
134.5 44.5 3
14.5 7.5 1
143.5 -37.5 4
100.5 0.5 1
139.5 -21.5 6
58.5 27.5 6
-110.5 29.5 5
30.5 -30.5 2
38.5 48.5 5
71.5 53.5 3
0.5 53.5 4
-6.5 37.5 4
73.5 51.5 3
-73.5 -41.5 2
42.5 38.5 4
-155.5 59.5 3
47.5 60.5 3
5.5 50.5 2
-62.5 7.5 1
74.5 29.5 5
27.5 38.5 4
-66.5 -2.5 1
-54.5 -32.5 2
-74.5 43.5 2
114.5 29.5 5
-50.5 -27.5 2
68.5 46.5 6
-74.5 -8.5 1
108.5 24.5 5
-83.5 14.5 1
45.5 53.5 3
97.5 22.5 5
117.5 36.5 2
-55.5 -25.5 5
-6.5 5.5 1
53.5 56.5 3
99.5 13.5 1
-114.5 55.5 3
-12.5 15.5 6
-94.5 35.5 2
73.5 31.5 4
15.5 9.5 4
72.5 42.5 3
68.5 60.5 3
-40.5 -14.5 4
17.5 43.5 2
15.5 12.5 4
19.5 4.5 1
-98.5 28.5 4
15.5 -19.5 5
37.5 17.5 6
15.5 51.5 2
16.5 -5.5 1
-2.5 40.5 4
-61.5 -1.5 1
105.5 -4.5 1
-96.5 45.5 3
-100.5 28.5 4
