"newFPU";"ATbiome";"Freq"
1001;1;16
1002;1;7
1003;1;7
1004;1;7
1005;1;27
1006;1;9
1007;1;3
1008;1;1
1009;1;17
1010;1;24
1011;1;45
1012;1;89
1013;1;52
1014;1;7
1015;1;315
1016;1;9
1017;1;39
1018;1;29
1019;1;3
1020;1;53
1021;1;2
1022;1;53
1023;1;3
1024;1;29
1025;1;7
1026;1;25
1027;1;60
1028;1;1
1029;1;27
1030;1;8
1031;1;8
1032;1;32
1033;1;7
1034;1;5
1035;1;3
1036;1;9
1037;1;1
1038;1;3
1039;1;22
1040;1;2
1041;1;31
1042;1;4
1043;1;41
1044;1;34
1045;1;1
1046;1;2
1047;1;12
1048;1;7
1049;1;28
1050;1;19
1051;1;16
1052;1;45
1053;1;4
1054;1;19
1055;1;1
1056;1;28
1057;1;48
1058;1;9
1059;1;23
1060;1;162
1061;1;1
1062;1;18
1063;1;36
1064;1;3
1065;1;27
1066;1;3
1067;1;14
1068;1;1
1069;1;33
1070;1;2
1071;1;5
1072;1;3
1073;1;12
1074;1;22
1075;1;13
1076;1;6
1077;1;2
1078;1;4
1079;1;13
1080;1;3
1081;1;2
1082;1;28
1083;1;9
1084;1;2
1085;1;2
1086;1;2
1087;1;6
1088;1;6
1089;1;4
1090;1;4
1091;1;15
1092;1;1
1093;1;10
1094;1;12
1095;1;26
1096;1;8
1097;1;1
1098;1;1
1099;1;5
1100;1;1
1101;1;2
1102;1;5
1103;1;4
1104;1;8
1105;1;5
1106;1;9
1107;1;4
1108;1;1
1109;1;33
2001;2;4
2002;2;35
2003;2;2
2004;2;27
2005;2;14
2006;2;11
2007;2;3
2008;2;1
2009;2;6
2010;2;8
2011;2;8
2012;2;9
2013;2;11
2014;2;13
2015;2;27
2016;2;17
2017;2;17
2018;2;4
2019;2;23
2020;2;20
2021;2;1
2022;2;49
2023;2;5
2024;2;1
2025;2;13
2026;2;3
2027;2;32
2028;2;62
2029;2;11
2030;2;1
2031;2;42
2032;2;27
2033;2;1
2034;2;13
2035;2;6
2036;2;1
2037;2;12
2038;2;11
2039;2;5
2040;2;15
2041;2;20
2042;2;9
2043;2;2
2044;2;2
2045;2;1
2046;2;20
2047;2;3
2048;2;7
2049;2;3
2050;2;4
2051;2;26
2052;2;6
2053;2;14
2054;2;6
2055;2;1
2056;2;7
2057;2;20
2058;2;1
2059;2;5
2060;2;5
2061;2;10
2062;2;6
2063;2;42
2064;2;28
2065;2;28
2066;2;7
2067;2;17
2068;2;5
2069;2;9
2070;2;35
2071;2;2
2072;2;1
2073;2;19
2074;2;1
2075;2;4
2076;2;35
2077;2;13
2078;2;39
2079;2;16
2080;2;10
2081;2;6
2082;2;1
2083;2;51
2084;2;3
2085;2;6
2086;2;15
2087;2;2
2088;2;1
2089;2;2
2090;2;2
2091;2;1
2092;2;2
2093;2;13
2094;2;3
2095;2;1
2096;2;8
2097;2;8
2098;2;2
2099;2;2
2100;2;2
2101;2;3
2102;2;1
2103;2;9
2104;2;1
2105;2;1
3001;3;11
3002;3;57
3003;3;17
3004;3;117
3005;3;186
3006;3;171
3007;3;4
3008;3;27
3009;3;41
3010;3;25
3011;3;4
3012;3;6
3013;3;111
3014;3;54
3015;3;6
3016;3;3
3017;3;1
3018;3;4
3019;3;1
3020;3;16
3021;3;2
3022;3;10
3023;3;1
3024;3;1
3025;3;34
3026;3;11
3027;3;4
3028;3;2
3029;3;34
3030;3;2
3031;3;11
3032;3;20
3033;3;123
3034;3;10
3035;3;3
3036;3;21
3037;3;141
3038;3;6
3039;3;77
3040;3;42
3041;3;42
3042;3;4
3043;3;3
3044;3;1
3045;3;36
3046;3;158
3047;3;9
3048;3;155
3049;3;1
3050;3;1
3051;3;14
3052;3;2
3053;3;51
3054;3;16
3055;3;1
3056;3;291
3057;3;63
3058;3;8
3059;3;4
3060;3;4
3061;3;46
3062;3;1
3063;3;6
3064;3;5
3065;3;1
3066;3;8
3067;3;4
3068;3;2
3069;3;1
4001;4;5
4002;4;9
4003;4;35
4004;4;6
4005;4;24
4006;4;12
4007;4;13
4008;4;17
4009;4;37
4010;4;70
4011;4;10
4012;4;10
4013;4;1
4014;4;3
4015;4;1
4016;4;11
4017;4;7
4018;4;1
4019;4;5
4020;4;1
4021;4;8
4022;4;45
4023;4;56
4024;4;6
4025;4;8
4026;4;20
4027;4;4
4028;4;1
4029;4;8
4030;4;2
4031;4;42
4032;4;1
4033;4;33
4034;4;6
4035;4;28
4036;4;17
4037;4;34
4038;4;1
4039;4;4
4040;4;1
4041;4;3
4042;4;1
4043;4;2
4044;4;2
4045;4;2
4046;4;1
4047;4;4
4048;4;10
4049;4;7
4050;4;9
4051;4;30
4052;4;2
4053;4;1
4054;4;2
4055;4;7
4056;4;1
4057;4;11
4058;4;2
4059;4;1
4060;4;9
4061;4;28
4062;4;14
4063;4;1
4064;4;23
4065;4;10
4066;4;13
4067;4;6
4068;4;6
4069;4;2
4070;4;56
4071;4;27
4072;4;2
4073;4;4
4074;4;2
4075;4;26
4076;4;6
4077;4;14
4078;4;24
4079;4;1
4080;4;1
4081;4;6
4082;4;4
4083;4;2
4084;4;11
4085;4;2
4086;4;10
4087;4;22
4088;4;12
4089;4;4
4090;4;3
4091;4;1
4092;4;3
4093;4;48
4094;4;48
4095;4;9
4096;4;2
4097;4;2
4098;4;15
4099;4;3
4100;4;12
4101;4;25
4102;4;13
4103;4;12
4104;4;3
4105;4;2
4106;4;2
4107;4;1
4108;4;1
4109;4;2
4110;4;7
4111;4;17
4112;4;1
4113;4;6
4114;4;30
4115;4;9
4116;4;20
4117;4;3
4118;4;1
4119;4;1
4120;4;25
4121;4;18
4122;4;2
4123;4;4
4124;4;14
4125;4;1
4126;4;3
4127;4;1
4128;4;1
4129;4;20
4130;4;38
4131;4;10
4132;4;1
4133;4;13
4134;4;2
4135;4;18
4136;4;2
4137;4;15
4138;4;7
4139;4;10
4140;4;1
4141;4;11
4142;4;5
4143;4;2
4144;4;5
4145;4;1
4146;4;15
4147;4;12
4148;4;2
4149;4;10
4150;4;11
4151;4;2
4152;4;5
4153;4;20
4154;4;25
4155;4;26
4156;4;20
4157;4;9
4158;4;4
4159;4;25
4160;4;6
4161;4;2
4162;4;14
4163;4;2
4164;4;6
4165;4;1
4166;4;1
4167;4;1
4168;4;5
5001;5;3
5002;5;5
5003;5;4
5004;5;6
5005;5;1
5006;5;1
5007;5;7
5008;5;6
5009;5;3
5010;5;1
5011;5;5
5012;5;2
5013;5;16
5014;5;2
5015;5;2
5016;5;2
5017;5;3
5018;5;4
5019;5;2
5020;5;1
5021;5;1
5022;5;1
5023;5;2
5024;5;2
5025;5;6
5026;5;1
5027;5;1
5028;5;16
5029;5;19
5030;5;2
5031;5;15
5032;5;4
5033;5;26
5034;5;14
5035;5;8
5036;5;4
5037;5;1
5038;5;24
5039;5;7
5040;5;1
5041;5;7
5042;5;1
5043;5;2
5044;5;1
5045;5;1
5046;5;1
5047;5;6
5048;5;1
5049;5;7
5050;5;3
5051;5;2
5052;5;2
5053;5;2
5054;5;7
5055;5;5
5056;5;3
5057;5;1
5058;5;9
5059;5;1
5060;5;1
5061;5;1
5062;5;1
5063;5;3
5064;5;13
5065;5;2
5066;5;1
5067;5;18
5068;5;3
5069;5;1
5070;5;2
5071;5;1
5072;5;1
5073;5;6
5074;5;2
5075;5;1
5076;5;1
5077;5;9
5078;5;5
5079;5;10
5080;5;1
5081;5;3
5082;5;8
5083;5;14
5084;5;2
5085;5;1
5086;5;1
5087;5;2
5088;5;9
5089;5;1
5090;5;11
5091;5;9
5092;5;1
5093;5;2
5094;5;1
5095;5;1
5096;5;8
5097;5;1
5098;5;1
5099;5;1
5100;5;2
5101;5;1
5102;5;2
5103;5;1
5104;5;1
5105;5;9
5106;5;1
6001;6;8
6002;6;17
6003;6;10
6004;6;24
6005;6;5
6006;6;5
6007;6;22
6008;6;1
6009;6;19
6010;6;7
6011;6;16
6012;6;9
6013;6;12
6014;6;20
6015;6;6
6016;6;1
6017;6;24
6018;6;29
6019;6;1
6020;6;7
6021;6;11
6022;6;12
6023;6;13
6024;6;1
6025;6;4
6026;6;3
6027;6;2
6028;6;4
6029;6;2
6030;6;3
6031;6;9
6032;6;1
6033;6;2
6034;6;16
6035;6;6
6036;6;4
6037;6;5
6038;6;11
6039;6;1
6040;6;10
6041;6;3
6042;6;1
6043;6;2
6044;6;1
6045;6;29
6046;6;13
6047;6;6
6048;6;24
6049;6;9
6050;6;16
6051;6;41
6052;6;19
6053;6;19
6054;6;33
6055;6;2
6056;6;3
6057;6;5
6058;6;1
6059;6;12
6060;6;6
6061;6;8
6062;6;3
6063;6;135
6064;6;60
6065;6;1
6066;6;8
6067;6;25
6068;6;2
6069;6;1
6070;6;24
6071;6;13
6072;6;5
6073;6;23
6074;6;2
6075;6;7
6076;6;6
6077;6;1
6078;6;28
6079;6;4
6080;6;31
6081;6;4
6082;6;6
6083;6;6
6084;6;5
6085;6;2
6086;6;2
6087;6;3
6088;6;3
6089;6;1
6090;6;1
6091;6;1
6092;6;1
6093;6;19
6094;6;1
6095;6;1
6096;6;3
6097;6;2
6098;6;25
6099;6;6
6100;6;62
6101;6;4
6102;6;3
6103;6;11
6104;6;5
6105;6;28
6106;6;2
6107;6;23
6108;6;14
6109;6;4
6110;6;4
6111;6;38
6112;6;1
6113;6;2
6114;6;1
6115;6;2
6116;6;1
6117;6;22
6118;6;1
6119;6;4
6120;6;7
6121;6;6
6122;6;2
6123;6;6
6124;6;22
6125;6;16
6126;6;5
6127;6;3
6128;6;17
6129;6;1
6130;6;1
6131;6;10
6132;6;6
6133;6;4
6134;6;3
6135;6;2
