"Lon" "Lat" "newFPU"
-0.875 7.3125 1001
-9.35714285714286 10.0714285714286 1002
-8.92857142857143 6.64285714285714 1003
-11.5 8.78571428571429 1004
-93.2058823529412 17.8529411764706 1005
-98.9 22.3 1006
-12.1666666666667 10.8333333333333 1007
-155.5 19.5 1008
-4.38235294117647 8.02941176470588 1009
-45.45 -3.5 1010
-42.3787878787879 -18.9848484848485 1011
-52.4887640449438 -19.5 1012
-50.2083333333333 -9.75 1013
-47.5 -0.5 1014
-60.0968253968254 -5.08412698412698 1015
-6.72222222222222 7.05555555555556 1016
-57.2948717948718 4.98717948717949 1017
-58.4285714285714 -21.7857142857143 1018
-58.5 -25.5 1019
-64.2358490566038 -14.7264150943396 1020
-59.5 8.5 1021
-65.6 6.36 1022
-77 18.5 1023
-70.6071428571429 4.14285714285714 1024
-71.6666666666667 19.1666666666667 1025
-72.5 0.18 1026
-73.75 -6.61666666666667 1027
-7.5 10.5 1028
-75.14 6.62 1029
-76.8333333333333 -1.16666666666667 1030
-80 22.5 1031
-84.7142857142857 12.7142857142857 1032
-79.2142857142857 -0.785714285714286 1033
-80.9 26.7 1034
98.5 4.5 1035
-89.5 17 1036
-9.5 8.5 1037
1.5 8.5 1038
12 -0.545454545454545 1039
11 1.5 1040
12.5967741935484 4.91935483870968 1041
11.5 8 1042
102.328571428571 -0.785714285714286 1043
101.558823529412 16.6176470588235 1044
100.5 20.5 1045
101 21.5 1046
102.5 4 1047
99.5 9.5 1048
105.5 14.22 1049
107.75 12.25 1050
110.409090909091 -7.13636363636364 1051
114.277777777778 -0.211111111111111 1052
110 19.5 1053
115.342105263158 4.02631578947368 1054
114.5 4.5 1055
124.863636363636 8.13636363636364 1056
138.909090909091 -4.31818181818182 1057
13.5 -3.5 1058
15.4545454545455 -10.2727272727273 1059
23.2469135802469 -2.33333333333333 1060
13.5 8.5 1061
16.1111111111111 -0.166666666666667 1062
143.568965517241 -5.91379310344828 1063
145.5 -16.5 1064
19.3888888888889 -9.35185185185185 1065
15.5 4.5 1066
19 7.5 1067
15.5 8.5 1068
21.5909090909091 5.71212121212121 1069
160.5 -9.5 1070
22.8333333333333 -11.8333333333333 1071
2.5 8.5 1072
30.5 -10.25 1073
28.7631578947368 5.86842105263158 1074
28.2692307692308 -8.65384615384615 1075
28.75 -5.75 1076
30 -1.5 1077
30 -3 1078
7.16666666666667 6.66666666666667 1079
5 8.5 1080
31 -0.5 1081
37.5625 -7.4375 1082
31.9444444444444 1.72222222222222 1083
32.5 -27.5 1084
32 -6.5 1085
32.5 -26 1086
34.1 -19.3 1087
34.5 -11.5 1088
34 1 1089
34.5 -0.5 1090
35.7142857142857 9.21428571428571 1091
35.5 -10.5 1092
37.2142857142857 -16.5 1093
37.5 6.7 1094
48.4 -16.65 1095
77 10.5 1096
75.5 13.5 1097
76.5 12.5 1098
81.1 7.3 1099
82.5 18.5 1100
83.5 18.5 1101
86 21.5 1102
87.1666666666667 22.8333333333333 1103
87.3 25.1 1104
90 23 1105
91.25 24.125 1106
93 26.5 1107
92.5 21.5 1108
96.1428571428571 20.3928571428571 1109
-1.5 42.5 2001
1.07142857142857 46.2142857142857 2002
-0.5 49.5 2003
-1.70833333333333 52.9583333333333 2004
-5.78571428571429 42.8571428571429 2005
-92.3 38.1 2006
-99.5 19.5 2007
-106.5 25.5 2008
-122.7 44.7 2009
-123.333333333333 46.6666666666667 2010
142.5 46 2011
-49.3 -27.1 2012
-51.7 -24.8 2013
-7.57692307692308 53.6538461538462 2014
-52.8333333333333 -28.9074074074074 2015
-58.1923076923077 -30.8846153846154 2016
-55.6176470588235 -32.5 2017
-56.5 -26.5 2018
-60.0909090909091 -36.8636363636364 2019
-64.2692307692308 45.8076923076923 2020
-65.5 -17.5 2021
-74.5204081632653 41.3367346938776 2022
-70.5 -44 2023
-70.5 -41.5 2024
-72.5 -39.7727272727273 2025
-77.5 0.5 2026
-84.6428571428571 44.4285714285714 2027
-83.2741935483871 33.0806451612903 2028
-79 44.375 2029
-78.5 -0.5 2030
-84.075 37.825 2031
-90.2857142857143 44.9285714285714 2032
-91.5 15.5 2033
-93.5 34.1923076923077 2034
-94.3333333333333 31.1666666666667 2035
-97.5 19.5 2036
3.25 49.1666666666667 2037
9.5 45.0714285714286 2038
10.5 48.5 2039
8.96666666666667 50.1666666666667 2040
10.3 52.55 2041
10.6111111111111 55.9444444444444 2042
11 59.5 2043
104.5 23.5 2044
103.5 19.5 2045
106.722222222222 27.9444444444444 2046
106 35.5 2047
104.9 25.7 2048
111 34.5 2049
110.5 27 2050
119.1875 30.4375 2051
117.75 25.75 2052
119.333333333333 34.1666666666667 2053
118.5 40.5 2054
116.5 -34.5 2055
13.7857142857143 53.0714285714286 2056
15.2894736842105 58.4473684210526 2057
120.5 23.5 2058
123.3 40.5 2059
126 38.5 2060
128.4 36.8 2061
15.3333333333333 48.1666666666667 2062
20.4189189189189 47.9054054054054 2063
140.115384615385 37.8076923076923 2064
18.7857142857143 44.1428571428571 2065
142.5 44 2066
151.7 -32.2 2067
146.5 -37 2068
146.833333333333 -41.6111111111111 2069
19.9571428571429 51.9571428571429 2070
153.5 -28 2071
16.5 54.5 2072
176 -38.625 2073
19.5 54.5 2074
21.5 54.75 2075
25.6428571428571 56.3857142857143 2076
25.1153846153846 61.2692307692308 2077
30.84375 50.375 2078
28.9375 53.125 2079
28.6111111111111 58.0555555555556 2080
29.5 -30.6666666666667 2081
29.5 -29.5 2082
35.8333333333333 56.2647058823529 2083
33.5 60 2084
4.83333333333333 50.8333333333333 2085
34.1428571428571 53.9285714285714 2086
33 41.5 2087
34.5 -9.5 2088
34.5 41.5 2089
36 -0.5 2090
36.5 50.5 2091
38 40.5 2092
39.6428571428571 52.2142857142857 2093
39.5 7 2094
38.5 9.5 2095
