"LON" "LAT" "FPU_code" "LONLAT"
87.5 46.5 172 "87.5/46.5"
-66.5 -42.5 238 "-66.5/-42.5"
39.5 -3.5 97 "39.5/-3.5"
-4.5 56.5 36 "-4.5/56.5"
94.5 54.5 274 "94.5/54.5"
25.5 0.5 60 "25.5/0.5"
63.5 59.5 174 "63.5/59.5"
-114.5 32.5 245 "-114.5/32.5"
-57.5 -33.5 252 "-57.5/-33.5"
22.5 16.5 204 "22.5/16.5"
25.5 53.5 23 "25.5/53.5"
-92.5 16.5 278 "-92.5/16.5"
122.5 17.5 189 "122.5/17.5"
-68.5 2.5 182 "-68.5/2.5"
-39.5 -8.5 214 "-39.5/-8.5"
147.5 -24.5 772 "147.5/-24.5"
72.5 22.5 133 "72.5/22.5"
-90.5 42.5 140 "-90.5/42.5"
-90.5 15.5 277 "-90.5/15.5"
136.5 -18.5 49 "136.5/-18.5"
-114.5 59.5 50 "-114.5/59.5"
-106.5 39.5 54 "-106.5/39.5"
13.5 52.5 175 "13.5/52.5"
15.5 40.5 111 "15.5/40.5"
-80.5 -4.5 171 "-80.5/-4.5"
160.5 56.5 1 "160.5/56.5"
48.5 30.5 240 "48.5/30.5"
100.5 58.5 274 "100.5/58.5"
105.5 53.5 1 "105.5/53.5"
76.5 19.5 91 "76.5/19.5"
119.5 -29.5 272 "119.5/-29.5"
147.5 -20.5 772 "147.5/-20.5"
3.5 43.5 130 "3.5/43.5"
80.5 49.5 173 "80.5/49.5"
84.5 27.5 892 "84.5/27.5"
64.5 58.5 174 "64.5/58.5"
-104.5 25.5 139 "-104.5/25.5"
105.5 18.5 137 "105.5/18.5"
30.5 -20.5 227 "30.5/-20.5"
28.5 47.5 64 "28.5/47.5"
-97.5 44.5 141 "-97.5/44.5"
11.5 6.5 42 "11.5/6.5"
-69.5 -37.5 198 "-69.5/-37.5"
-111.5 58.5 50 "-111.5/58.5"
-102.5 42.5 141 "-102.5/42.5"
131.5 53.5 19 "131.5/53.5"
161.5 55.5 1 "161.5/55.5"
-106.5 31.5 199 "-106.5/31.5"
-108.5 26.5 245 "-108.5/26.5"
-76.5 47.5 38 "-76.5/47.5"
84.5 21.5 35 "84.5/21.5"
35.5 -1.5 74 "35.5/-1.5"
33.5 60.5 163 "33.5/60.5"
28.5 45.5 64 "28.5/45.5"
104.5 17.5 138 "104.5/17.5"
-54.5 -9.5 8 "-54.5/-9.5"
66.5 47.5 230 "66.5/47.5"
118.5 29.5 512 "118.5/29.5"
17.5 -20.5 284 "17.5/-20.5"
86.5 59.5 174 "86.5/59.5"
-63.5 -3.5 8 "-63.5/-3.5"
16.5 38.5 111 "16.5/38.5"
21.5 -4.5 60 "21.5/-4.5"
-14.5 12.5 266 "-14.5/12.5"
-44.5 -21.5 186 "-44.5/-21.5"
17.5 7.5 120 "17.5/7.5"
38.5 27.5 20000 "38.5/27.5"
-89.5 54.5 38 "-89.5/54.5"
146.5 -23.5 772 "146.5/-23.5"
111.5 22.5 2881 "111.5/22.5"
90.5 48.5 132 "90.5/48.5"
